backend,matchup,seed,score,steps,right_life,left_life
gym,noop_vs_baseline,42,-5.0,736,0,5
gym,noop_vs_baseline,43,-5.0,521,0,5
gym,noop_vs_baseline,44,-5.0,551,0,5
gym,noop_vs_baseline,45,-5.0,468,0,5
gym,noop_vs_baseline,46,-5.0,562,0,5
gym,noop_vs_baseline,47,-5.0,587,0,5
gym,noop_vs_baseline,48,-4.0,548,0,4
gym,noop_vs_baseline,49,-5.0,447,0,5
gym,noop_vs_baseline,50,-5.0,600,0,5
gym,noop_vs_baseline,51,-5.0,463,0,5
gym,noop_vs_baseline,52,-5.0,471,0,5
gym,noop_vs_baseline,53,-5.0,657,0,5
gym,noop_vs_baseline,54,-5.0,623,0,5
gym,noop_vs_baseline,55,-4.0,658,0,4
gym,noop_vs_baseline,56,-5.0,536,0,5
gym,noop_vs_baseline,57,-5.0,654,0,5
gym,noop_vs_baseline,58,-5.0,512,0,5
gym,noop_vs_baseline,59,-5.0,759,0,5
gym,noop_vs_baseline,60,-5.0,503,0,5
gym,noop_vs_baseline,61,-5.0,655,0,5
gym,noop_vs_baseline,62,-5.0,406,0,5
gym,noop_vs_baseline,63,-5.0,555,0,5
gym,noop_vs_baseline,64,-4.0,572,0,4
gym,noop_vs_baseline,65,-5.0,506,0,5
gym,noop_vs_baseline,66,-5.0,582,0,5
gym,noop_vs_baseline,67,-5.0,527,0,5
gym,noop_vs_baseline,68,-5.0,783,0,5
gym,noop_vs_baseline,69,-5.0,550,0,5
gym,noop_vs_baseline,70,-5.0,593,0,5
gym,noop_vs_baseline,71,-5.0,408,0,5
gym,noop_vs_baseline,72,-5.0,487,0,5
gym,noop_vs_baseline,73,-5.0,557,0,5
gym,noop_vs_baseline,74,-4.0,590,0,4
gym,noop_vs_baseline,75,-5.0,568,0,5
gym,noop_vs_baseline,76,-4.0,625,0,4
gym,noop_vs_baseline,77,-5.0,606,0,5
gym,noop_vs_baseline,78,-5.0,584,0,5
gym,noop_vs_baseline,79,-5.0,637,0,5
gym,noop_vs_baseline,80,-5.0,534,0,5
gym,noop_vs_baseline,81,-5.0,549,0,5
gym,noop_vs_baseline,82,-5.0,605,0,5
gym,noop_vs_baseline,83,-5.0,563,0,5
gym,noop_vs_baseline,84,-5.0,593,0,5
gym,noop_vs_baseline,85,-4.0,798,0,4
gym,noop_vs_baseline,86,-5.0,568,0,5
gym,noop_vs_baseline,87,-5.0,507,0,5
gym,noop_vs_baseline,88,-5.0,519,0,5
gym,noop_vs_baseline,89,-5.0,738,0,5
gym,noop_vs_baseline,90,-5.0,468,0,5
gym,noop_vs_baseline,91,-5.0,627,0,5
gym,noop_vs_baseline,92,-5.0,751,0,5
gym,noop_vs_baseline,93,-5.0,436,0,5
gym,noop_vs_baseline,94,-5.0,748,0,5
gym,noop_vs_baseline,95,-5.0,682,0,5
gym,noop_vs_baseline,96,-5.0,445,0,5
gym,noop_vs_baseline,97,-5.0,687,0,5
gym,noop_vs_baseline,98,-5.0,631,0,5
gym,noop_vs_baseline,99,-5.0,514,0,5
gym,noop_vs_baseline,100,-5.0,403,0,5
gym,noop_vs_baseline,101,-5.0,450,0,5
gym,noop_vs_baseline,102,-5.0,516,0,5
gym,noop_vs_baseline,103,-5.0,641,0,5
gym,noop_vs_baseline,104,-5.0,571,0,5
gym,noop_vs_baseline,105,-5.0,636,0,5
gym,noop_vs_baseline,106,-4.0,644,0,4
gym,noop_vs_baseline,107,-5.0,636,0,5
gym,noop_vs_baseline,108,-5.0,527,0,5
gym,noop_vs_baseline,109,-5.0,515,0,5
gym,noop_vs_baseline,110,-3.0,721,0,3
gym,noop_vs_baseline,111,-5.0,540,0,5
gym,noop_vs_baseline,112,-5.0,594,0,5
gym,noop_vs_baseline,113,-4.0,832,0,4
gym,noop_vs_baseline,114,-5.0,485,0,5
gym,noop_vs_baseline,115,-5.0,603,0,5
gym,noop_vs_baseline,116,-5.0,574,0,5
gym,noop_vs_baseline,117,-5.0,486,0,5
gym,noop_vs_baseline,118,-4.0,703,0,4
gym,noop_vs_baseline,119,-5.0,469,0,5
gym,noop_vs_baseline,120,-4.0,658,0,4
gym,noop_vs_baseline,121,-5.0,470,0,5
gym,noop_vs_baseline,122,-5.0,468,0,5
gym,noop_vs_baseline,123,-5.0,444,0,5
gym,noop_vs_baseline,124,-5.0,529,0,5
gym,noop_vs_baseline,125,-5.0,602,0,5
gym,noop_vs_baseline,126,-5.0,470,0,5
gym,noop_vs_baseline,127,-5.0,830,0,5
gym,noop_vs_baseline,128,-5.0,503,0,5
gym,noop_vs_baseline,129,-5.0,470,0,5
gym,noop_vs_baseline,130,-4.0,585,0,4
gym,noop_vs_baseline,131,-5.0,521,0,5
gym,noop_vs_baseline,132,-5.0,419,0,5
gym,noop_vs_baseline,133,-5.0,459,0,5
gym,noop_vs_baseline,134,-5.0,475,0,5
gym,noop_vs_baseline,135,-5.0,415,0,5
gym,noop_vs_baseline,136,-5.0,537,0,5
gym,noop_vs_baseline,137,-4.0,554,0,4
gym,noop_vs_baseline,138,-5.0,527,0,5
gym,noop_vs_baseline,139,-5.0,465,0,5
gym,noop_vs_baseline,140,-5.0,848,0,5
gym,noop_vs_baseline,141,-5.0,560,0,5
