backend,matchup,seed,score,steps,right_life,left_life
jax,noop_vs_baseline,42,-5.0,673,0,5
jax,noop_vs_baseline,43,-5.0,506,0,5
jax,noop_vs_baseline,44,-5.0,430,0,5
jax,noop_vs_baseline,45,-5.0,587,0,5
jax,noop_vs_baseline,46,-5.0,529,0,5
jax,noop_vs_baseline,47,-4.0,694,0,4
jax,noop_vs_baseline,48,-5.0,398,0,5
jax,noop_vs_baseline,49,-5.0,641,0,5
jax,noop_vs_baseline,50,-5.0,445,0,5
jax,noop_vs_baseline,51,-5.0,568,0,5
jax,noop_vs_baseline,52,-5.0,541,0,5
jax,noop_vs_baseline,53,-4.0,685,0,4
jax,noop_vs_baseline,54,-5.0,821,0,5
jax,noop_vs_baseline,55,-4.0,707,0,4
jax,noop_vs_baseline,56,-5.0,620,0,5
jax,noop_vs_baseline,57,-5.0,469,0,5
jax,noop_vs_baseline,58,-5.0,595,0,5
jax,noop_vs_baseline,59,-5.0,761,0,5
jax,noop_vs_baseline,60,-5.0,850,0,5
jax,noop_vs_baseline,61,-5.0,613,0,5
jax,noop_vs_baseline,62,-5.0,467,0,5
jax,noop_vs_baseline,63,-5.0,470,0,5
jax,noop_vs_baseline,64,-5.0,467,0,5
jax,noop_vs_baseline,65,-5.0,715,0,5
jax,noop_vs_baseline,66,-5.0,767,0,5
jax,noop_vs_baseline,67,-5.0,573,0,5
jax,noop_vs_baseline,68,-5.0,557,0,5
jax,noop_vs_baseline,69,-5.0,442,0,5
jax,noop_vs_baseline,70,-5.0,668,0,5
jax,noop_vs_baseline,71,-5.0,463,0,5
jax,noop_vs_baseline,72,-4.0,700,0,4
jax,noop_vs_baseline,73,-5.0,716,0,5
jax,noop_vs_baseline,74,-5.0,662,0,5
jax,noop_vs_baseline,75,-5.0,580,0,5
jax,noop_vs_baseline,76,-5.0,717,0,5
jax,noop_vs_baseline,77,-5.0,510,0,5
jax,noop_vs_baseline,78,-5.0,489,0,5
jax,noop_vs_baseline,79,-5.0,566,0,5
jax,noop_vs_baseline,80,-5.0,671,0,5
jax,noop_vs_baseline,81,-4.0,725,0,4
jax,noop_vs_baseline,82,-4.0,648,0,4
jax,noop_vs_baseline,83,-5.0,616,0,5
jax,noop_vs_baseline,84,-5.0,434,0,5
jax,noop_vs_baseline,85,-4.0,648,0,4
jax,noop_vs_baseline,86,-5.0,470,0,5
jax,noop_vs_baseline,87,-5.0,634,0,5
jax,noop_vs_baseline,88,-5.0,525,0,5
jax,noop_vs_baseline,89,-5.0,481,0,5
jax,noop_vs_baseline,90,-5.0,827,0,5
jax,noop_vs_baseline,91,-4.0,630,0,4
jax,noop_vs_baseline,92,-5.0,590,0,5
jax,noop_vs_baseline,93,-5.0,461,0,5
jax,noop_vs_baseline,94,-5.0,567,0,5
jax,noop_vs_baseline,95,-5.0,665,0,5
jax,noop_vs_baseline,96,-4.0,485,0,4
jax,noop_vs_baseline,97,-5.0,559,0,5
jax,noop_vs_baseline,98,-4.0,716,0,4
jax,noop_vs_baseline,99,-5.0,535,0,5
jax,noop_vs_baseline,100,-5.0,634,0,5
jax,noop_vs_baseline,101,-5.0,474,0,5
jax,noop_vs_baseline,102,-4.0,601,0,4
jax,noop_vs_baseline,103,-5.0,424,0,5
jax,noop_vs_baseline,104,-4.0,554,0,4
jax,noop_vs_baseline,105,-5.0,513,0,5
jax,noop_vs_baseline,106,-5.0,691,0,5
jax,noop_vs_baseline,107,-5.0,628,0,5
jax,noop_vs_baseline,108,-5.0,580,0,5
jax,noop_vs_baseline,109,-5.0,440,0,5
jax,noop_vs_baseline,110,-5.0,507,0,5
jax,noop_vs_baseline,111,-5.0,552,0,5
jax,noop_vs_baseline,112,-5.0,743,0,5
jax,noop_vs_baseline,113,-5.0,618,0,5
jax,noop_vs_baseline,114,-5.0,385,0,5
jax,noop_vs_baseline,115,-5.0,519,0,5
jax,noop_vs_baseline,116,-5.0,477,0,5
jax,noop_vs_baseline,117,-5.0,618,0,5
jax,noop_vs_baseline,118,-5.0,653,0,5
jax,noop_vs_baseline,119,-5.0,620,0,5
jax,noop_vs_baseline,120,-5.0,545,0,5
jax,noop_vs_baseline,121,-5.0,477,0,5
jax,noop_vs_baseline,122,-5.0,529,0,5
jax,noop_vs_baseline,123,-5.0,411,0,5
jax,noop_vs_baseline,124,-5.0,615,0,5
jax,noop_vs_baseline,125,-5.0,538,0,5
jax,noop_vs_baseline,126,-5.0,530,0,5
jax,noop_vs_baseline,127,-5.0,609,0,5
jax,noop_vs_baseline,128,-5.0,511,0,5
jax,noop_vs_baseline,129,-5.0,499,0,5
jax,noop_vs_baseline,130,-5.0,511,0,5
jax,noop_vs_baseline,131,-5.0,567,0,5
jax,noop_vs_baseline,132,-5.0,540,0,5
jax,noop_vs_baseline,133,-5.0,655,0,5
jax,noop_vs_baseline,134,-5.0,557,0,5
jax,noop_vs_baseline,135,-5.0,468,0,5
jax,noop_vs_baseline,136,-5.0,565,0,5
jax,noop_vs_baseline,137,-5.0,729,0,5
jax,noop_vs_baseline,138,-5.0,467,0,5
jax,noop_vs_baseline,139,-5.0,469,0,5
jax,noop_vs_baseline,140,-4.0,462,0,4
jax,noop_vs_baseline,141,-5.0,638,0,5
