generation,best_fitness,mean_fitness,best_baseline_score,best_baseline_std,mean_baseline_score,mean_episode_length,best_node_count,best_connection_count,best_enabled_connection_count,species_count
0,1.566562533378601,1.3479676246643066,-4.809999942779541,0.4836321175098419,-4.850625038146973,595.7781372070312,15,36,36,1
1,1.5961041450500488,1.3229199647903442,-4.800000190734863,0.5291502475738525,-4.875625133514404,595.6343994140625,15,36,36,1
2,1.6207916736602783,1.3271751403808594,-4.789999961853027,0.43116119503974915,-4.871874809265137,597.150634765625,15,36,36,1
3,1.6712499856948853,1.3349356651306152,-4.820000171661377,0.45563143491744995,-4.864999771118164,599.806884765625,15,36,36,1
4,1.7154791355133057,1.372079610824585,-4.880000114440918,0.38157564401626587,-4.833125114440918,615.61376953125,15,36,36,1
5,1.7718541622161865,1.365615725517273,-4.840000152587891,0.39293763041496277,-4.841249942779541,620.5968627929688,15,36,36,1
6,1.664562463760376,1.3797398805618286,-4.800000190734863,0.42426401376724243,-4.827499866485596,621.7193603515625,15,36,36,1
7,1.8472083806991577,1.3774493932724,-4.809999942779541,0.41701316833496094,-4.831874847412109,627.97314453125,15,36,36,1
8,1.6392083168029785,1.3705682754516602,-4.840000152587891,0.39293763041496277,-4.834374904632568,614.829345703125,15,36,36,1
9,1.7987916469573975,1.3789182901382446,-4.639999866485596,0.5571355223655701,-4.829999923706055,626.7550048828125,15,36,36,1
10,1.722812533378601,1.3887706995010376,-4.869999885559082,0.391279935836792,-4.820000171661377,626.3131103515625,16,38,37,1
11,1.718416690826416,1.3833004236221313,-4.849999904632568,0.38405728340148926,-4.824375152587891,623.02685546875,16,38,36,1
12,1.7132916450500488,1.3632549047470093,-4.829999923706055,0.4255584478378296,-4.84499979019165,624.764404296875,15,36,34,1
13,1.7944791316986084,1.3944169282913208,-4.800000190734863,0.4472135603427887,-4.815625190734863,630.1256103515625,16,38,36,1
14,1.7941042184829712,1.3798152208328247,-4.860000133514404,0.3746998608112335,-4.828125,623.8206176757812,16,38,36,1
15,1.8042500019073486,1.401863694190979,-4.840000152587891,0.4176122844219208,-4.806875228881836,626.2162475585938,15,36,34,1
16,1.7299166917800903,1.3968489170074463,-4.75,0.497493714094162,-4.81374979019165,631.7962646484375,15,36,32,1
17,1.7971874475479126,1.3843374252319336,-4.900000095367432,0.33166250586509705,-4.826250076293945,631.7625122070312,15,36,33,1
18,1.7365833520889282,1.4050849676132202,-4.820000171661377,0.47707438468933105,-4.804999828338623,630.25439453125,15,36,32,1
19,1.9954583644866943,1.3993362188339233,-4.75,0.5361902713775635,-4.8125,635.5087280273438,16,38,33,1
20,1.6593749523162842,1.3667961359024048,-4.880000114440918,0.3544008731842041,-4.841875076293945,626.0131225585938,15,36,32,1
21,1.6867291927337646,1.3729840517044067,-4.840000152587891,0.36660605669021606,-4.838125228881836,633.326904296875,15,36,31,1
22,1.7903541326522827,1.3659788370132446,-4.78000020980835,0.5399999618530273,-4.844375133514404,631.0618896484375,15,36,31,1
23,1.7422083616256714,1.3770604133605957,-4.760000228881836,0.47159305214881897,-4.831874847412109,626.8056030273438,15,36,31,1
24,1.7442916631698608,1.3753422498703003,-4.860000133514404,0.3746998608112335,-4.833749771118164,627.2762451171875,15,36,31,1
25,1.68708336353302,1.3790165185928345,-4.820000171661377,0.45563146471977234,-4.82937479019165,625.1743774414062,15,36,31,1
26,1.659916639328003,1.380836009979248,-4.789999961853027,0.4073082506656647,-4.828125,626.8831176757812,15,36,31,1
27,1.6506458520889282,1.3594213724136353,-4.78000020980835,0.4599999785423279,-4.847499847412109,620.7637329101562,15,36,31,1
28,1.7744582891464233,1.40826416015625,-4.800000190734863,0.4472135603427887,-4.801875114440918,630.4181518554688,15,36,31,1
29,1.6654374599456787,1.3875534534454346,-4.800000190734863,0.4898979365825653,-4.821249961853027,626.41064453125,15,36,31,1
30,1.6812916994094849,1.376704216003418,-4.840000152587891,0.39293763041496277,-4.831874847412109,625.7374877929688,15,36,31,1
31,1.855312466621399,1.401421070098877,-4.809999942779541,0.44034072756767273,-4.809374809265137,632.3887329101562,15,36,31,1
32,1.7376667261123657,1.3700683116912842,-4.809999942779541,0.4403407573699951,-4.841249942779541,633.9550170898438,16,38,31,1
33,1.8527292013168335,1.4008783102035522,-4.78000020980835,0.4599999785423279,-4.809999942779541,632.6356201171875,15,36,31,1
34,1.72056245803833,1.3703047037124634,-4.829999923706055,0.425558477640152,-4.836249828338623,619.6637573242188,15,36,31,1
35,1.6305208206176758,1.385339617729187,-4.769999980926514,0.4659399092197418,-4.825624942779541,632.8937377929688,15,36,30,1
36,1.6733958721160889,1.3911076784133911,-4.800000190734863,0.4472135603427887,-4.821249961853027,637.0731201171875,15,36,30,1
37,1.652333378791809,1.3830897808074951,-4.880000114440918,0.32496151328086853,-4.827499866485596,631.7693481445312,15,36,30,1
38,1.681166648864746,1.3755093812942505,-4.760000228881836,0.5122499465942383,-4.835000038146973,631.5281372070312,15,36,29,1
39,1.6712708473205566,1.4028552770614624,-4.760000228881836,0.5851495265960693,-4.808125019073486,632.9406127929688,15,36,29,1
40,1.8001874685287476,1.3729091882705688,-4.760000228881836,0.47159305214881897,-4.838125228881836,633.1018676757812,15,36,29,1
41,1.600979208946228,1.3703852891921997,-4.820000171661377,0.45563146471977234,-4.836874961853027,621.78125,15,36,29,1
42,1.7364791631698608,1.399491310119629,-4.760000228881836,0.5122499465942383,-4.81125020980835,632.2237548828125,15,36,29,1
43,1.695229172706604,1.3782519102096558,-4.800000190734863,0.42426401376724243,-4.831250190734863,628.505615234375,16,38,31,1
44,1.6650416851043701,1.389927625656128,-4.920000076293945,0.3059411644935608,-4.820624828338623,631.657470703125,15,36,29,3
45,1.7236666679382324,1.3763105869293213,-4.800000190734863,0.4690415561199188,-4.833749771118164,630.181884765625,16,38,30,1
46,1.7225208282470703,1.3890140056610107,-4.840000152587891,0.36660605669021606,-4.819375038146973,625.1668701171875,16,38,30,2
47,1.7880624532699585,1.3808207511901855,-4.800000190734863,0.5099019408226013,-4.828125,626.8368530273438,16,38,31,2
48,1.7397500276565552,1.376143455505371,-4.809999942779541,0.39230093359947205,-4.832499980926514,625.9306030273438,16,38,30,3
49,1.7793124914169312,1.4285478591918945,-4.809999942779541,0.41701316833496094,-4.787499904632568,648.1437377929688,16,38,30,3
50,1.7412083148956299,1.3994892835617065,-4.78000020980835,0.5015974044799805,-4.815000057220459,643.467529296875,16,38,30,2
51,1.662083387374878,1.3948800563812256,-4.800000190734863,0.4690415561199188,-4.820000171661377,644.6400146484375,16,38,30,2
52,1.7522499561309814,1.4016424417495728,-4.710000038146973,0.5346962213516235,-4.8125,642.4281005859375,16,38,30,4
53,1.7153124809265137,1.3781999349594116,-4.800000190734863,0.4690415561199188,-4.833125114440918,633.974365234375,16,38,30,5
54,1.732479214668274,1.3979321718215942,-4.869999885559082,0.3648287057876587,-4.818124771118164,648.1712646484375,16,39,31,5
55,1.8042082786560059,1.3967608213424683,-4.769999980926514,0.4659399092197418,-4.815625190734863,637.1581420898438,16,38,30,4
56,1.6749374866485596,1.3786938190460205,-4.789999961853027,0.4537620544433594,-4.831874847412109,631.7062377929688,16,38,30,5
57,1.7852083444595337,1.3816889524459839,-4.71999979019165,0.5670979022979736,-4.827499866485596,627.5675048828125,16,38,30,5
58,1.788729190826416,1.3716708421707153,-4.769999980926514,0.5264028906822205,-4.840624809265137,636.8875122070312,16,38,30,4
59,1.9787083864212036,1.4038892984390259,-4.809999942779541,0.39230093359947205,-4.8125,649.16748046875,16,38,30,4
60,1.7145625352859497,1.382745385169983,-4.840000152587891,0.4176122844219208,-4.824375152587891,621.3612670898438,16,38,30,4
61,1.6194583177566528,1.382710576057434,-4.789999961853027,0.4537620544433594,-4.829999923706055,638.1312255859375,16,38,30,3
62,1.7235416173934937,1.3964046239852905,-4.860000133514404,0.3746998608112335,-4.81374979019165,630.463134765625,16,39,31,6
63,1.6873124837875366,1.383962869644165,-4.78000020980835,0.4599999785423279,-4.828125,636.2631225585938,16,38,30,6
64,1.7478125095367432,1.3931794166564941,-4.809999942779541,0.39230093359947205,-4.818749904632568,635.7881469726562,17,41,32,5
65,1.6548124551773071,1.3867275714874268,-4.800000190734863,0.4000000059604645,-4.824375152587891,633.3074951171875,16,38,30,5
66,1.5520416498184204,1.3608189821243286,-4.690000057220459,0.5602677464485168,-4.849374771118164,630.5818481445312,16,39,31,4
67,1.7161874771118164,1.3689396381378174,-4.820000171661377,0.4331281781196594,-4.838125228881836,621.1937255859375,16,39,31,6
68,1.6077708005905151,1.3571468591690063,-4.769999980926514,0.4208325147628784,-4.846250057220459,610.1906127929688,17,41,32,6
69,1.7280207872390747,1.3674116134643555,-4.869999885559082,0.3648287057876587,-4.840000152587891,622.2349853515625,16,38,30,4
70,1.7723125219345093,1.4060980081558228,-4.829999923706055,0.4702127277851105,-4.808125019073486,642.6681518554688,17,40,31,4
71,1.5952708721160889,1.3542044162750244,-4.849999904632568,0.38405728340148926,-4.851874828338623,618.2380981445312,16,38,30,7
72,1.5833125114440918,1.359443187713623,-4.869999885559082,0.3648287057876587,-4.849374771118164,626.454345703125,17,41,32,6
73,1.6431666612625122,1.3612631559371948,-4.860000133514404,0.3746998608112335,-4.848124980926514,628.1643676757812,17,40,31,4
74,1.7993957996368408,1.3741040229797363,-4.739999771118164,0.4820788502693176,-4.834374904632568,625.4368896484375,17,41,32,5
75,1.7384999990463257,1.3350112438201904,-4.800000190734863,0.5291502475738525,-4.866250038146973,603.7843627929688,16,39,31,5
76,1.6165624856948853,1.370123028755188,-4.860000133514404,0.5102940201759338,-4.841249942779541,634.1187744140625,17,41,32,6
77,1.6739791631698608,1.3629111051559448,-4.849999904632568,0.3570714294910431,-4.847499847412109,631.233154296875,16,39,31,6
78,1.6616666316986084,1.3698325157165527,-4.889999866485596,0.37134891748428345,-4.840624809265137,631.3724975585938,16,38,30,5
79,1.797624945640564,1.3856257200241089,-4.75,0.5172040462493896,-4.82687520980835,637.5025024414062,16,39,31,5
80,1.7914166450500488,1.362424373626709,-4.829999923706055,0.37563279271125793,-4.847499847412109,629.7731323242188,16,38,30,5
81,1.8056042194366455,1.3682953119277954,-4.880000114440918,0.4749736785888672,-4.841875076293945,630.5106201171875,16,39,31,5
82,1.671541690826416,1.3845007419586182,-4.75,0.5545268058776855,-4.825624942779541,630.3775024414062,17,42,33,5
83,1.7276458740234375,1.3647072315216064,-4.820000171661377,0.3841874599456787,-4.848124980926514,638.4968872070312,16,39,31,5
84,1.6611249446868896,1.3733407258987427,-4.829999923706055,0.4702126979827881,-4.835625171661377,626.8975219726562,17,42,33,4
85,1.7261667251586914,1.3883404731750488,-4.710000038146973,0.5156549215316772,-4.824375152587891,638.1468505859375,16,39,31,4
86,1.784416675567627,1.3734452724456787,-4.829999923706055,0.4255584478378296,-4.835000038146973,625.3356323242188,17,42,33,4
87,1.7218749523162842,1.3990610837936401,-4.869999885559082,0.391279935836792,-4.81374979019165,638.43310546875,17,42,33,4
88,1.730479121208191,1.402908205986023,-4.880000114440918,0.3544008731842041,-4.807499885559082,631.224365234375,16,39,31,4
89,1.664812445640564,1.3937251567840576,-4.829999923706055,0.40137261152267456,-4.818749904632568,637.4255981445312,16,39,31,7
90,1.6728541851043701,1.3707020282745361,-4.800000190734863,0.42426401376724243,-4.838749885559082,628.3562622070312,17,42,33,5
91,1.7264583110809326,1.3970303535461426,-4.869999885559082,0.3648287057876587,-4.815000057220459,636.0912475585938,16,39,31,4
92,1.67006254196167,1.3822658061981201,-4.840000152587891,0.36660605669021606,-4.828125,631.1724853515625,17,42,33,5
93,1.9215832948684692,1.400232195854187,-4.78000020980835,0.4142462909221649,-4.814374923706055,643.8218994140625,17,42,33,6
94,1.7257083654403687,1.367135763168335,-4.710000038146973,0.5346962213516235,-4.841875076293945,627.0318603515625,17,42,33,5
95,1.673770785331726,1.388079047203064,-4.820000171661377,0.43312814831733704,-4.823750019073486,635.4868774414062,16,39,31,5
96,1.7924582958221436,1.3992257118225098,-4.789999961853027,0.47528937458992004,-4.809374809265137,625.802490234375,17,42,33,5
97,1.7207708358764648,1.3751578330993652,-4.760000228881836,0.49234136939048767,-4.832499980926514,622.9737548828125,16,40,32,5
98,1.8709583282470703,1.4046952724456787,-4.860000133514404,0.3469870388507843,-4.808125019073486,638.4612426757812,17,42,33,5
99,1.6718541383743286,1.364250659942627,-4.869999885559082,0.3648287057876587,-4.844375133514404,625.8768920898438,17,42,33,5
100,1.7224583625793457,1.3770655393600464,-4.829999923706055,0.40137261152267456,-4.832499980926514,628.6968994140625,17,42,33,4
