backend,matchup,seed,score,steps,right_life,left_life
jax,genome_vs_baseline,42,-5.0,490,0,5
jax,genome_vs_baseline,43,-5.0,506,0,5
jax,genome_vs_baseline,44,-5.0,430,0,5
jax,genome_vs_baseline,45,-5.0,583,0,5
jax,genome_vs_baseline,46,-5.0,513,0,5
jax,genome_vs_baseline,47,-5.0,572,0,5
jax,genome_vs_baseline,48,-5.0,398,0,5
jax,genome_vs_baseline,49,-5.0,894,0,5
jax,genome_vs_baseline,50,-5.0,402,0,5
jax,genome_vs_baseline,51,-5.0,554,0,5
jax,genome_vs_baseline,52,-5.0,481,0,5
jax,genome_vs_baseline,53,-5.0,544,0,5
jax,genome_vs_baseline,54,-5.0,820,0,5
jax,genome_vs_baseline,55,-5.0,504,0,5
jax,genome_vs_baseline,56,-5.0,823,0,5
jax,genome_vs_baseline,57,-5.0,506,0,5
jax,genome_vs_baseline,58,-5.0,517,0,5
jax,genome_vs_baseline,59,-4.0,843,0,4
jax,genome_vs_baseline,60,-5.0,740,0,5
jax,genome_vs_baseline,61,-5.0,591,0,5
jax,genome_vs_baseline,62,-5.0,588,0,5
jax,genome_vs_baseline,63,-5.0,511,0,5
jax,genome_vs_baseline,64,-5.0,486,0,5
jax,genome_vs_baseline,65,-5.0,649,0,5
jax,genome_vs_baseline,66,-5.0,482,0,5
jax,genome_vs_baseline,67,-5.0,601,0,5
jax,genome_vs_baseline,68,-5.0,696,0,5
jax,genome_vs_baseline,69,-5.0,442,0,5
jax,genome_vs_baseline,70,-5.0,632,0,5
jax,genome_vs_baseline,71,-5.0,553,0,5
jax,genome_vs_baseline,72,-4.0,649,0,4
jax,genome_vs_baseline,73,-5.0,550,0,5
jax,genome_vs_baseline,74,-5.0,581,0,5
jax,genome_vs_baseline,75,-5.0,541,0,5
jax,genome_vs_baseline,76,-5.0,623,0,5
jax,genome_vs_baseline,77,-5.0,509,0,5
jax,genome_vs_baseline,78,-5.0,695,0,5
jax,genome_vs_baseline,79,-5.0,651,0,5
jax,genome_vs_baseline,80,-5.0,722,0,5
jax,genome_vs_baseline,81,-4.0,591,0,4
jax,genome_vs_baseline,82,-5.0,637,0,5
jax,genome_vs_baseline,83,-5.0,800,0,5
jax,genome_vs_baseline,84,-4.0,676,0,4
jax,genome_vs_baseline,85,-4.0,657,0,4
jax,genome_vs_baseline,86,-5.0,528,0,5
jax,genome_vs_baseline,87,-5.0,528,0,5
jax,genome_vs_baseline,88,-5.0,526,0,5
jax,genome_vs_baseline,89,-5.0,481,0,5
jax,genome_vs_baseline,90,-4.0,721,0,4
jax,genome_vs_baseline,91,-4.0,630,0,4
jax,genome_vs_baseline,92,-5.0,589,0,5
jax,genome_vs_baseline,93,-5.0,641,0,5
jax,genome_vs_baseline,94,-5.0,508,0,5
jax,genome_vs_baseline,95,-5.0,541,0,5
jax,genome_vs_baseline,96,-4.0,485,0,4
jax,genome_vs_baseline,97,-5.0,559,0,5
jax,genome_vs_baseline,98,-3.0,864,0,3
jax,genome_vs_baseline,99,-4.0,824,0,4
jax,genome_vs_baseline,100,-5.0,644,0,5
jax,genome_vs_baseline,101,-5.0,400,0,5
jax,genome_vs_baseline,102,-4.0,612,0,4
jax,genome_vs_baseline,103,-5.0,578,0,5
jax,genome_vs_baseline,104,-4.0,554,0,4
jax,genome_vs_baseline,105,-5.0,466,0,5
jax,genome_vs_baseline,106,-4.0,722,0,4
jax,genome_vs_baseline,107,-5.0,717,0,5
jax,genome_vs_baseline,108,-5.0,563,0,5
jax,genome_vs_baseline,109,-5.0,622,0,5
jax,genome_vs_baseline,110,-5.0,550,0,5
jax,genome_vs_baseline,111,-5.0,532,0,5
jax,genome_vs_baseline,112,-5.0,751,0,5
jax,genome_vs_baseline,113,-5.0,721,0,5
jax,genome_vs_baseline,114,-5.0,385,0,5
jax,genome_vs_baseline,115,-5.0,508,0,5
jax,genome_vs_baseline,116,-5.0,606,0,5
jax,genome_vs_baseline,117,-4.0,670,0,4
jax,genome_vs_baseline,118,-5.0,876,0,5
jax,genome_vs_baseline,119,-5.0,587,0,5
jax,genome_vs_baseline,120,-4.0,988,0,4
jax,genome_vs_baseline,121,-5.0,477,0,5
jax,genome_vs_baseline,122,-5.0,777,0,5
jax,genome_vs_baseline,123,-5.0,411,0,5
jax,genome_vs_baseline,124,-5.0,641,0,5
jax,genome_vs_baseline,125,-5.0,684,0,5
jax,genome_vs_baseline,126,-5.0,687,0,5
jax,genome_vs_baseline,127,-5.0,555,0,5
jax,genome_vs_baseline,128,-5.0,534,0,5
jax,genome_vs_baseline,129,-5.0,617,0,5
jax,genome_vs_baseline,130,-5.0,511,0,5
jax,genome_vs_baseline,131,-5.0,518,0,5
jax,genome_vs_baseline,132,-4.0,514,0,4
jax,genome_vs_baseline,133,-5.0,513,0,5
jax,genome_vs_baseline,134,-5.0,466,0,5
jax,genome_vs_baseline,135,-5.0,468,0,5
jax,genome_vs_baseline,136,-5.0,430,0,5
jax,genome_vs_baseline,137,-5.0,641,0,5
jax,genome_vs_baseline,138,-5.0,828,0,5
jax,genome_vs_baseline,139,-5.0,674,0,5
jax,genome_vs_baseline,140,-4.0,462,0,4
jax,genome_vs_baseline,141,-5.0,795,0,5
