backend,matchup,seed,score,steps,right_life,left_life
gym,genome_vs_baseline,42,-5.0,736,0,5
gym,genome_vs_baseline,43,-5.0,521,0,5
gym,genome_vs_baseline,44,-5.0,680,0,5
gym,genome_vs_baseline,45,-4.0,571,0,4
gym,genome_vs_baseline,46,-5.0,673,0,5
gym,genome_vs_baseline,47,-5.0,547,0,5
gym,genome_vs_baseline,48,-4.0,636,0,4
gym,genome_vs_baseline,49,-5.0,447,0,5
gym,genome_vs_baseline,50,-5.0,570,0,5
gym,genome_vs_baseline,51,-5.0,463,0,5
gym,genome_vs_baseline,52,-5.0,589,0,5
gym,genome_vs_baseline,53,-5.0,752,0,5
gym,genome_vs_baseline,54,-5.0,657,0,5
gym,genome_vs_baseline,55,-4.0,837,0,4
gym,genome_vs_baseline,56,-5.0,545,0,5
gym,genome_vs_baseline,57,-5.0,648,0,5
gym,genome_vs_baseline,58,-5.0,586,0,5
gym,genome_vs_baseline,59,-3.0,1097,0,3
gym,genome_vs_baseline,60,-5.0,482,0,5
gym,genome_vs_baseline,61,-5.0,592,0,5
gym,genome_vs_baseline,62,-5.0,507,0,5
gym,genome_vs_baseline,63,-5.0,639,0,5
gym,genome_vs_baseline,64,-4.0,572,0,4
gym,genome_vs_baseline,65,-5.0,496,0,5
gym,genome_vs_baseline,66,-5.0,1170,0,5
gym,genome_vs_baseline,67,-4.0,646,0,4
gym,genome_vs_baseline,68,-5.0,648,0,5
gym,genome_vs_baseline,69,-5.0,609,0,5
gym,genome_vs_baseline,70,-4.0,731,0,4
gym,genome_vs_baseline,71,-5.0,449,0,5
gym,genome_vs_baseline,72,-5.0,445,0,5
gym,genome_vs_baseline,73,-5.0,598,0,5
gym,genome_vs_baseline,74,-4.0,677,0,4
gym,genome_vs_baseline,75,-5.0,455,0,5
gym,genome_vs_baseline,76,-4.0,597,0,4
gym,genome_vs_baseline,77,-5.0,501,0,5
gym,genome_vs_baseline,78,-5.0,733,0,5
gym,genome_vs_baseline,79,-5.0,831,0,5
gym,genome_vs_baseline,80,-5.0,463,0,5
gym,genome_vs_baseline,81,-5.0,546,0,5
gym,genome_vs_baseline,82,-5.0,820,0,5
gym,genome_vs_baseline,83,-5.0,650,0,5
gym,genome_vs_baseline,84,-5.0,593,0,5
gym,genome_vs_baseline,85,-3.0,1075,0,3
gym,genome_vs_baseline,86,-5.0,709,0,5
gym,genome_vs_baseline,87,-5.0,511,0,5
gym,genome_vs_baseline,88,-5.0,499,0,5
gym,genome_vs_baseline,89,-5.0,707,0,5
gym,genome_vs_baseline,90,-5.0,700,0,5
gym,genome_vs_baseline,91,-5.0,582,0,5
gym,genome_vs_baseline,92,-5.0,630,0,5
gym,genome_vs_baseline,93,-5.0,487,0,5
gym,genome_vs_baseline,94,-5.0,674,0,5
gym,genome_vs_baseline,95,-5.0,638,0,5
gym,genome_vs_baseline,96,-5.0,512,0,5
gym,genome_vs_baseline,97,-5.0,809,0,5
gym,genome_vs_baseline,98,-5.0,703,0,5
gym,genome_vs_baseline,99,-5.0,629,0,5
gym,genome_vs_baseline,100,-5.0,403,0,5
gym,genome_vs_baseline,101,-5.0,481,0,5
gym,genome_vs_baseline,102,-5.0,567,0,5
gym,genome_vs_baseline,103,-5.0,597,0,5
gym,genome_vs_baseline,104,-5.0,661,0,5
gym,genome_vs_baseline,105,-5.0,561,0,5
gym,genome_vs_baseline,106,-4.0,582,0,4
gym,genome_vs_baseline,107,-3.0,816,0,3
gym,genome_vs_baseline,108,-5.0,937,0,5
gym,genome_vs_baseline,109,-5.0,533,0,5
gym,genome_vs_baseline,110,-4.0,729,0,4
gym,genome_vs_baseline,111,-4.0,899,0,4
gym,genome_vs_baseline,112,-5.0,675,0,5
gym,genome_vs_baseline,113,-4.0,926,0,4
gym,genome_vs_baseline,114,-5.0,481,0,5
gym,genome_vs_baseline,115,-5.0,533,0,5
gym,genome_vs_baseline,116,-5.0,664,0,5
gym,genome_vs_baseline,117,-5.0,575,0,5
gym,genome_vs_baseline,118,-4.0,692,0,4
gym,genome_vs_baseline,119,-5.0,509,0,5
gym,genome_vs_baseline,120,-4.0,702,0,4
gym,genome_vs_baseline,121,-5.0,470,0,5
gym,genome_vs_baseline,122,-5.0,611,0,5
gym,genome_vs_baseline,123,-5.0,585,0,5
gym,genome_vs_baseline,124,-5.0,557,0,5
gym,genome_vs_baseline,125,-5.0,602,0,5
gym,genome_vs_baseline,126,-5.0,609,0,5
gym,genome_vs_baseline,127,-5.0,533,0,5
gym,genome_vs_baseline,128,-5.0,795,0,5
gym,genome_vs_baseline,129,-5.0,470,0,5
gym,genome_vs_baseline,130,-4.0,543,0,4
gym,genome_vs_baseline,131,-4.0,682,0,4
gym,genome_vs_baseline,132,-5.0,445,0,5
gym,genome_vs_baseline,133,-5.0,456,0,5
gym,genome_vs_baseline,134,-5.0,505,0,5
gym,genome_vs_baseline,135,-5.0,437,0,5
gym,genome_vs_baseline,136,-5.0,586,0,5
gym,genome_vs_baseline,137,-4.0,585,0,4
gym,genome_vs_baseline,138,-5.0,518,0,5
gym,genome_vs_baseline,139,-5.0,466,0,5
gym,genome_vs_baseline,140,-5.0,742,0,5
gym,genome_vs_baseline,141,-5.0,630,0,5
