backend,matchup,seed,score,steps,right_life,left_life
gym,baseline_vs_baseline,42,0.0,3000,5,5
gym,baseline_vs_baseline,43,0.0,3000,4,4
gym,baseline_vs_baseline,44,-1.0,3000,4,5
gym,baseline_vs_baseline,45,0.0,3000,4,4
gym,baseline_vs_baseline,46,1.0,3000,5,4
gym,baseline_vs_baseline,47,0.0,3000,4,4
gym,baseline_vs_baseline,48,2.0,3000,5,3
gym,baseline_vs_baseline,49,1.0,3000,5,4
gym,baseline_vs_baseline,50,1.0,3000,5,4
gym,baseline_vs_baseline,51,-1.0,3000,3,4
gym,baseline_vs_baseline,52,1.0,3000,4,3
gym,baseline_vs_baseline,53,1.0,3000,5,4
gym,baseline_vs_baseline,54,-2.0,3000,3,5
gym,baseline_vs_baseline,55,0.0,3000,5,5
gym,baseline_vs_baseline,56,0.0,3000,4,4
gym,baseline_vs_baseline,57,0.0,3000,5,5
gym,baseline_vs_baseline,58,-1.0,3000,4,5
gym,baseline_vs_baseline,59,1.0,3000,5,4
gym,baseline_vs_baseline,60,0.0,3000,5,5
gym,baseline_vs_baseline,61,1.0,3000,5,4
gym,baseline_vs_baseline,62,-1.0,3000,4,5
gym,baseline_vs_baseline,63,0.0,3000,4,4
gym,baseline_vs_baseline,64,1.0,3000,4,3
gym,baseline_vs_baseline,65,0.0,3000,5,5
gym,baseline_vs_baseline,66,-1.0,3000,4,5
gym,baseline_vs_baseline,67,0.0,3000,5,5
gym,baseline_vs_baseline,68,0.0,3000,4,4
gym,baseline_vs_baseline,69,-1.0,3000,2,3
gym,baseline_vs_baseline,70,1.0,3000,5,4
gym,baseline_vs_baseline,71,0.0,3000,5,5
gym,baseline_vs_baseline,72,0.0,3000,5,5
gym,baseline_vs_baseline,73,0.0,3000,4,4
gym,baseline_vs_baseline,74,-2.0,3000,1,3
gym,baseline_vs_baseline,75,1.0,3000,5,4
gym,baseline_vs_baseline,76,-1.0,3000,4,5
gym,baseline_vs_baseline,77,1.0,3000,4,3
gym,baseline_vs_baseline,78,0.0,3000,4,4
gym,baseline_vs_baseline,79,0.0,3000,5,5
gym,baseline_vs_baseline,80,0.0,3000,5,5
gym,baseline_vs_baseline,81,1.0,3000,5,4
gym,baseline_vs_baseline,82,0.0,3000,4,4
gym,baseline_vs_baseline,83,1.0,3000,5,4
gym,baseline_vs_baseline,84,0.0,3000,5,5
gym,baseline_vs_baseline,85,2.0,3000,5,3
gym,baseline_vs_baseline,86,-2.0,3000,3,5
gym,baseline_vs_baseline,87,0.0,3000,5,5
gym,baseline_vs_baseline,88,1.0,3000,5,4
gym,baseline_vs_baseline,89,0.0,3000,5,5
gym,baseline_vs_baseline,90,-2.0,3000,3,5
gym,baseline_vs_baseline,91,0.0,3000,4,4
gym,baseline_vs_baseline,92,0.0,3000,5,5
gym,baseline_vs_baseline,93,-1.0,3000,3,4
gym,baseline_vs_baseline,94,2.0,3000,5,3
gym,baseline_vs_baseline,95,1.0,3000,5,4
gym,baseline_vs_baseline,96,0.0,3000,5,5
gym,baseline_vs_baseline,97,-1.0,3000,4,5
gym,baseline_vs_baseline,98,1.0,3000,5,4
gym,baseline_vs_baseline,99,-2.0,3000,3,5
gym,baseline_vs_baseline,100,0.0,3000,5,5
gym,baseline_vs_baseline,101,0.0,3000,5,5
gym,baseline_vs_baseline,102,0.0,3000,5,5
gym,baseline_vs_baseline,103,1.0,3000,5,4
gym,baseline_vs_baseline,104,-3.0,3000,2,5
gym,baseline_vs_baseline,105,0.0,3000,5,5
gym,baseline_vs_baseline,106,1.0,3000,5,4
gym,baseline_vs_baseline,107,0.0,3000,4,4
gym,baseline_vs_baseline,108,-1.0,3000,4,5
gym,baseline_vs_baseline,109,3.0,3000,5,2
gym,baseline_vs_baseline,110,0.0,3000,5,5
gym,baseline_vs_baseline,111,0.0,3000,5,5
gym,baseline_vs_baseline,112,-1.0,3000,4,5
gym,baseline_vs_baseline,113,1.0,3000,5,4
gym,baseline_vs_baseline,114,0.0,3000,4,4
gym,baseline_vs_baseline,115,-1.0,3000,4,5
gym,baseline_vs_baseline,116,-1.0,3000,4,5
gym,baseline_vs_baseline,117,1.0,3000,5,4
gym,baseline_vs_baseline,118,2.0,3000,5,3
gym,baseline_vs_baseline,119,0.0,3000,4,4
gym,baseline_vs_baseline,120,1.0,3000,5,4
gym,baseline_vs_baseline,121,1.0,3000,5,4
gym,baseline_vs_baseline,122,-3.0,3000,2,5
gym,baseline_vs_baseline,123,0.0,3000,5,5
gym,baseline_vs_baseline,124,-1.0,3000,4,5
gym,baseline_vs_baseline,125,0.0,3000,5,5
gym,baseline_vs_baseline,126,1.0,3000,5,4
gym,baseline_vs_baseline,127,-1.0,3000,4,5
gym,baseline_vs_baseline,128,-1.0,3000,4,5
gym,baseline_vs_baseline,129,-2.0,3000,3,5
gym,baseline_vs_baseline,130,1.0,3000,5,4
gym,baseline_vs_baseline,131,-1.0,3000,3,4
gym,baseline_vs_baseline,132,0.0,3000,5,5
gym,baseline_vs_baseline,133,0.0,3000,5,5
gym,baseline_vs_baseline,134,0.0,3000,4,4
gym,baseline_vs_baseline,135,-1.0,3000,3,4
gym,baseline_vs_baseline,136,0.0,3000,3,3
gym,baseline_vs_baseline,137,-1.0,3000,4,5
gym,baseline_vs_baseline,138,-1.0,3000,4,5
gym,baseline_vs_baseline,139,2.0,3000,5,3
gym,baseline_vs_baseline,140,0.0,3000,5,5
gym,baseline_vs_baseline,141,1.0,3000,5,4
